fragment_1,fragment_2,overlap_size,node_1,node_2,same_node
decade_1890s,primary_genre_Comedy,2,node_9,node_8,False
decade_1890s,primary_genre_Documentary,19,node_9,node_8,False
decade_1890s,primary_genre_News,1,node_9,node_8,False
decade_1890s,primary_genre_Short,7,node_9,node_8,False
decade_1890s,title_type_short,29,node_9,node_7,False
decade_1900s,primary_genre_Action,1,node_9,node_8,False
decade_1900s,primary_genre_Animation,1,node_9,node_8,False
decade_1900s,primary_genre_Comedy,25,node_9,node_8,False
decade_1900s,primary_genre_Documentary,45,node_9,node_8,False
decade_1900s,primary_genre_Drama,12,node_9,node_8,False
decade_1900s,primary_genre_Fantasy,2,node_9,node_8,False
decade_1900s,primary_genre_Music,2,node_9,node_8,False
decade_1900s,primary_genre_Musical,3,node_9,node_8,False
decade_1900s,primary_genre_News,2,node_9,node_8,False
decade_1900s,primary_genre_Short,16,node_9,node_8,False
decade_1900s,title_type_short,109,node_9,node_7,False
decade_1910s,primary_genre_Action,3,node_9,node_8,False
decade_1910s,primary_genre_Adventure,2,node_9,node_8,False
decade_1910s,primary_genre_Animation,9,node_9,node_8,False
decade_1910s,primary_genre_Biography,1,node_9,node_8,False
decade_1910s,primary_genre_Comedy,101,node_9,node_8,False
decade_1910s,primary_genre_Crime,3,node_9,node_8,False
decade_1910s,primary_genre_Documentary,37,node_9,node_8,False
decade_1910s,primary_genre_Drama,97,node_9,node_8,False
decade_1910s,primary_genre_Fantasy,3,node_9,node_8,False
decade_1910s,primary_genre_News,11,node_9,node_8,False
decade_1910s,primary_genre_Romance,2,node_9,node_8,False
decade_1910s,primary_genre_Short,40,node_9,node_8,False
decade_1910s,primary_genre_UNKNOWN,27,node_9,node_8,False
decade_1910s,title_type_movie,61,node_9,node_7,False
decade_1910s,title_type_short,275,node_9,node_7,False
decade_1920s,primary_genre_Action,6,node_9,node_8,False
decade_1920s,primary_genre_Adventure,9,node_9,node_8,False
decade_1920s,primary_genre_Animation,11,node_9,node_8,False
decade_1920s,primary_genre_Comedy,38,node_9,node_8,False
decade_1920s,primary_genre_Crime,2,node_9,node_8,False
decade_1920s,primary_genre_Documentary,17,node_9,node_8,False
decade_1920s,primary_genre_Drama,40,node_9,node_8,False
decade_1920s,primary_genre_History,1,node_9,node_8,False
decade_1920s,primary_genre_Music,4,node_9,node_8,False
decade_1920s,primary_genre_Musical,1,node_9,node_8,False
decade_1920s,primary_genre_Short,10,node_9,node_8,False
decade_1920s,primary_genre_Sport,1,node_9,node_8,False
decade_1920s,primary_genre_UNKNOWN,30,node_9,node_8,False
decade_1920s,title_type_movie,103,node_9,node_7,False
decade_1920s,title_type_short,67,node_9,node_7,False
decade_1930s,primary_genre_Action,3,node_9,node_8,False
decade_1930s,primary_genre_Adventure,5,node_9,node_8,False
decade_1930s,primary_genre_Animation,7,node_9,node_8,False
decade_1930s,primary_genre_Comedy,29,node_9,node_8,False
decade_1930s,primary_genre_Crime,5,node_9,node_8,False
decade_1930s,primary_genre_Documentary,27,node_9,node_8,False
decade_1930s,primary_genre_Drama,36,node_9,node_8,False
decade_1930s,primary_genre_Musical,2,node_9,node_8,False
decade_1930s,primary_genre_Mystery,1,node_9,node_8,False
decade_1930s,primary_genre_News,1,node_9,node_8,False
decade_1930s,primary_genre_Short,12,node_9,node_8,False
decade_1930s,primary_genre_Thriller,1,node_9,node_8,False
decade_1930s,primary_genre_UNKNOWN,18,node_9,node_8,False
decade_1930s,primary_genre_War,1,node_9,node_8,False
decade_1930s,title_type_movie,87,node_9,node_7,False
decade_1930s,title_type_short,54,node_9,node_7,False
decade_1930s,title_type_tvEpisode,4,node_9,node_7,False
decade_1930s,title_type_tvMovie,3,node_9,node_7,False
decade_1940s,primary_genre_Action,3,node_9,node_8,False
decade_1940s,primary_genre_Adventure,3,node_9,node_8,False
decade_1940s,primary_genre_Animation,15,node_9,node_8,False
decade_1940s,primary_genre_Biography,1,node_9,node_8,False
decade_1940s,primary_genre_Comedy,25,node_9,node_8,False
decade_1940s,primary_genre_Crime,8,node_9,node_8,False
decade_1940s,primary_genre_Documentary,20,node_9,node_8,False
decade_1940s,primary_genre_Drama,37,node_9,node_8,False
decade_1940s,primary_genre_Family,7,node_9,node_8,False
decade_1940s,primary_genre_Game-Show,1,node_9,node_8,False
decade_1940s,primary_genre_Horror,2,node_9,node_8,False
decade_1940s,primary_genre_Music,12,node_9,node_8,False
decade_1940s,primary_genre_Musical,1,node_9,node_8,False
decade_1940s,primary_genre_Short,7,node_9,node_8,False
decade_1940s,primary_genre_UNKNOWN,9,node_9,node_8,False
decade_1940s,primary_genre_Western,1,node_9,node_8,False
decade_1940s,title_type_movie,73,node_9,node_7,False
decade_1940s,title_type_short,51,node_9,node_7,False
decade_1940s,title_type_tvEpisode,25,node_9,node_7,False
decade_1940s,title_type_tvMovie,2,node_9,node_7,False
decade_1940s,title_type_tvSeries,1,node_9,node_7,False
